Rank,Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS.1,LNG,TD,FF,Year,Draft_Round
1,Kentrell Brothers,MIZ,LB,73,79,152,2.5,-12,0,2,9,9,0,1,2015,
2,Armani Watts,TA&M,S,83,43,126,0.0,0,0,1,10,10,0,2,2015,
3,Rudy Ford,AUB,S,68,50,118,1.0,-7,0,2,48,48,1,2,2015,
4,Skai Moore,SC,LB,68,42,110,2.0,-11,0,4,25,14,0,2,2015,
5,Richie Brown,MSST,LB,51,57,108,6.5,-45,0,1,3,3,0,0,2015,
6,Jalen Reeves-Maybin,TENN,LB,66,39,105,6.0,-46,0,0,0,0,0,2,2015,
7,Jake Ganus,UGA,LB,44,58,102,1.0,-3,0,2,0,0,0,0,2015,
7,Reggie Ragland,ALA,LB,60,42,102,2.5,-10,0,0,0,0,0,2,2015,
7,Brooks Ellis,ARK,LB,45,57,102,1.5,-13,0,1,28,28,0,0,2015,
7,Zach CunninghamVAN,,LB,70,32,102,4.5,-32,0,0,0,0,0,3,2015,
11,Deion Jones,LSU,LB,56,43,99,5.0,-38,0,2,26,26,1,1,2015,
12,Beniquez Brown,MSST,LB,48,50,98,4.0,-21,0,1,2,2,0,0,2015,
13,Kris Frost,AUB,LB,36,60,96,0.0,0,0,2,0,0,0,1,2015,
14,Dre Greenlaw,ARK,LB,46,49,95,1.0,-14,0,0,0,0,0,1,2015,
15,Keanu NealFLA,,S,51,43,94,2.0,-25,0,1,0,0,0,1,2015,
16,Josh Forrest,UK,LB,39,54,93,3.5,-20,0,2,81,81,1,0,2015,
16,Michael Scherer,MIZ,LB,47,46,93,0.0,0,0,0,0,0,0,0,2015,
18,Jarrad DavisFLA,,LB,52,40,92,3.5,-23,0,1,0,0,0,1,2015,
19,Antonio MorrisonFLA,,LB,46,45,91,2.5,-25,0,0,0,0,0,0,2015,
20,Kendell Beckwith,LSU,LB,50,33,83,3.5,-29,0,0,0,0,0,1,2015,
21,Shaan Washington,TA&M,LB,29,52,81,1.0,-10,0,0,0,0,0,1,2015,
22,Marcus MayeFLA,,S,46,33,79,0.0,0,0,2,0,0,0,5,2015,
23,Justin Evans,TA&M,S,47,31,78,0.0,0,0,1,0,0,0,0,2015,
24,Kivon Coman,MSST,DB,39,37,76,0.5,-3,0,1,0,0,0,0,2015,
24,DeMarquis Gates,MISS,LB,46,30,76,0.0,0,0,0,0,0,0,1,2015,
26,Isaiah Johnson,SC,S,45,29,74,0.0,0,0,1,0,0,0,0,2015,
26,Cassanova McKinzy,AUB,LB,37,37,74,5.0,-45,0,0,0,0,0,1,2015,
26,Leonard Floyd,UGA,LB,37,37,74,4.5,-23,0,0,0,0,0,0,2015,
29,Reuben Foster,ALA,LB,48,25,73,1.0,-6,0,0,0,0,0,0,2015,
30,Geno Matias-Smith,ALA,S,51,21,72,0.0,0,0,1,16,16,0,1,2015,
31,Blake Countess,AUB,CB,44,27,71,0.0,0,0,2,5,5,0,0,2015,
32,Brian Randolph,TENN,DB,52,18,70,0.0,0,0,2,1,1,0,1,2015,
32,Trae Elston,MISS,S,44,26,70,0.0,0,0,4,156,93,2,0,2015,
34,Jonathan Jones,AUB,CB,45,24,69,0.0,0,0,1,29,29,0,1,2015,
34,Mike Hilton,MISS,CB,49,20,69,1.5,-11,0,2,2,2,0,1,2015,
36,Derek Barnett,TENN,DE,43,25,68,10.0,-51,0,0,0,0,0,0,2015,
37,Rohan Gaines,ARK,DB,44,23,67,0.0,0,0,1,14,14,0,0,2015,
37,Tim Kimbrough,UGA,LB,28,39,67,1.0,-14,0,0,0,0,0,1,2015,
37,Jamal Adams,LSU,S,48,19,67,0.0,0,0,4,30,23,0,1,2015,
37,A.J. Stamps,UK,S,37,30,67,0.0,0,0,1,35,35,0,0,2015,
37,Cory Johnson,UK,DT,27,40,67,2.0,-18,0,1,0,0,0,1,2015,
42,Marcus McWilson,UK,S,32,34,66,1.0,-7,0,0,0,0,0,0,2015,
42,J.T. Gray,MSST,S,27,39,66,1.5,-10,0,0,0,0,0,0,2015,
44,Anthony Sherrils,MIZ,DB,41,23,64,0.0,0,0,1,50,50,0,1,2015,
45,Donavin Newsom,MIZ,LB,41,22,63,2.5,-22,0,0,0,0,0,2,2015,
45,Darreon HerringVAN,,LB,35,28,63,1.5,-4,0,0,0,0,0,0,2015,
45,T.J. Holloman,SC,LB,42,21,63,0.0,0,0,2,8,8,0,0,2015,
45,Jonathan BullardFLA,,DE,40,23,63,6.5,-48,0,0,0,0,0,0,2015,
45,Brandon Bryant,MSST,DB,46,17,63,1.5,-18,0,3,73,73,1,0,2015,
45,Donovan Wilson,TA&M,S,36,27,63,2.0,-15,0,5,76,60,1,2,2015,
45,Darrin Kirkland Jr.,TENN,LB,41,22,63,2.0,-17,0,1,26,26,0,0,2015,
52,Khalid Henderson,UK,LB,32,28,60,2.0,-15,0,1,0,0,0,1,2015,
53,Jordan Jenkins,UGA,LB,28,31,59,4.0,-25,0,0,0,0,0,1,2015,
53,T.J. Gurley,SC,S,43,16,59,0.0,0,0,1,3,3,0,1,2015,
53,Oren BurksVAN,,LB,35,24,59,0.0,0,0,3,31,30,1,1,2015,
53,Aarion Penton,MIZ,CB,41,18,59,0.0,0,0,1,0,0,0,1,2015,
57,A.J. Hilliard,TA&M,LB,25,33,58,1.0,-2,0,0,0,0,0,1,2015,
57,Myles Garrett,TA&M,DE,36,22,58,12.5,-72,0,1,4,4,0,1,2015,
59,Quincy Mauger,UGA,S,39,18,57,0.5,-3,0,0,0,0,0,0,2015,
59,Jarran Reed,ALA,DT,17,40,57,1.0,-3,0,0,0,0,0,0,2015,
61,Charles Harris,MIZ,LB,32,24,56,7.0,-51,0,0,0,0,0,1,2015,
61,Carlton Davis III,AUB,CB,38,18,56,0.5,-3,0,3,0,0,0,1,2015,
63,Tre' Williams,AUB,LB,27,28,55,0.0,0,0,0,0,0,0,0,2015,
63,Henre' Toliver,ARK,DB,43,12,55,0.0,0,0,1,12,12,0,0,2015,
63,Jeremiah Ledbetter,ARK,DE,24,31,55,2.0,-14,0,0,0,0,0,0,2015,
66,Daeshon Hall,TA&M,DE,21,33,54,7.0,-46,0,0,0,0,0,0,2015,
67,Denzel Nkemdiche,MISS,LB,36,17,53,0.5,-4,0,0,0,0,0,0,2015,
67,Ryan Flannigan,UK,LB,25,28,53,0.0,0,0,0,0,0,0,0,2015,
69,Farrington Huguenin,UK,DE,25,27,52,1.5,-10,0,0,0,0,0,0,2015,
69,Josh Liddell,ARK,S,28,24,52,0.0,0,0,2,0,0,0,1,2015,
71,Justin Garrett,AUB,LB,25,25,50,1.0,-2,0,2,21,11,0,1,2015,
71,Torren McGasterVAN,,CB,41,9,50,0.0,0,0,0,0,0,0,0,2015,
73,Jordan Diggs,SC,DB,25,23,48,0.0,0,0,1,2,2,0,1,2015,
73,Lewis Neal,LSU,DE,23,25,48,8.0,-50,0,0,0,0,0,1,2015,
73,Gerri Green,MSST,LB,20,28,48,0.0,0,0,2,0,0,0,0,2015,
73,Dominick Sanders,UGA,S,25,23,48,1.0,-7,0,6,205,88,1,0,2015,
77,A.J. Jefferson,MSST,DE,27,20,47,5.0,-44,0,0,0,0,0,0,2015,
77,Aaron Davis,UGA,CB,30,17,47,1.0,-3,0,1,26,26,0,0,2015,
79,Sterling Bailey,UGA,DT,13,33,46,1.0,-7,0,0,0,0,0,0,2015,
79,Ian Simon,MIZ,S,31,15,46,0.0,0,0,2,39,39,0,0,2015,
79,Bryan CoxFLA,,DE,24,22,46,3.5,-27,0,0,0,0,0,1,2015,
79,Eddie Jackson,ALA,S,34,12,46,0.0,0,0,6,230,93,2,1,2015,
79,A'Shawn Robinson,ALA,DT,18,28,46,3.5,-19,0,0,0,0,0,0,2015,
79,Todd Kelly Jr.,TENN,DB,31,15,46,0.0,0,0,3,5,4,0,0,2015,
79,Tre HerndonVAN,,CB,35,11,46,1.0,-6,0,0,0,0,0,0,2015,
86,Stephen WeatherlyVAN,,LB,29,16,45,3.5,-23,0,0,0,0,0,2,2015,
86,Tray Matthews,AUB,S,25,20,45,0.0,0,0,2,41,35,0,1,2015,
86,Marlon Humphrey,ALA,CB,35,10,45,0.0,0,0,3,28,29,0,2,2015,
86,Marquavius Lewis,SC,DL,26,19,45,3.0,-20,0,0,0,0,0,0,2015,
86,Minkah Fitzpatrick,ALA,S,30,15,45,2.0,-17,0,2,88,55,2,0,2015,
91,Zach Jackson,MSST,LB,20,24,44,1.0,-6,0,0,0,0,0,0,2015,
91,Jared Collins,ARK,DB,29,15,44,0.0,0,0,1,0,0,0,1,2015,
91,Tre'Davious White,LSU,CB,30,14,44,0.0,0,0,0,0,0,0,0,2015,
91,Chris Jones,MSST,DL,16,28,44,2.5,-16,0,0,0,0,0,0,2015,
91,Montravius Adams,AUB,DT,16,28,44,2.5,-21,0,0,0,0,0,1,2015,
91,Kevin Richardson II,ARK,DB,22,22,44,0.0,0,0,1,0,0,0,0,2015,
97,C.J. Johnson,MISS,LB,25,18,43,2.0,-20,0,2,74,70,0,1,2015,
98,Jonathan Walton,SC,LB,29,13,42,1.0,-10,0,0,0,0,0,2,2015,
98,Marquis Haynes Sr.,MISS,LB,28,14,42,10.0,-76,0,0,0,0,0,0,2015,
98,Dontavius Russell,AUB,DT,14,28,42,1.5,-6,0,0,0,0,0,0,2015,
98,Malkom Parrish,UGA,DB,30,12,42,1.0,-8,0,2,27,27,0,0,2015,
98,Arden Key,LSU,DE,21,21,42,5.0,-34,0,0,0,0,0,0,2015,
103,Gerald Gervoris Ky'Trell Dixon,SC,DE,22,19,41,1.0,-5,0,1,-1,0,0,1,2015,
103,Chris Mayes,UGA,DT,16,25,41,0.0,0,0,0,0,0,0,0,2015,
103,Davon Godchaux,LSU,DT,12,29,41,6.0,-35,0,0,0,0,0,0,2015,
103,Ken Webster,MISS,CB,30,11,41,0.0,0,0,1,-2,0,0,0,2015,
107,Andrew WilliamsonVAN,,S,28,12,40,1.0,-1,0,0,0,0,0,1,2015,
107,D.J. Jones,MISS,DT,23,17,40,4.0,-22,0,0,0,0,0,0,2015,
109,Taveze Calhoun,MSST,CB,24,15,39,0.0,0,0,2,-3,0,0,0,2015,
109,Ryan Brown,MSST,DE,13,26,39,2.5,-25,0,0,0,0,0,0,2015,
109,Brian PooleFLA,,CB,26,13,39,0.5,-2,0,0,0,0,0,0,2015,
109,Jason Hatcher,UK,DE,17,22,39,2.0,-16,0,0,0,0,0,0,2015,
109,Teez TaborFLA,,CB,20,19,39,1.0,-2,0,4,82,40,2,0,2015,
109,Walter Brady,MIZ,DE,20,19,39,7.0,-41,0,1,22,22,0,0,2015,
109,Denzil Ware,UK,DE,22,17,39,1.0,-4,0,0,0,0,0,1,2015,
109,Mike Edwards,UK,S,25,14,39,0.0,0,0,1,20,20,1,1,2015,
109,Richard Moore,TA&M,LB,23,16,39,1.0,-5,0,0,0,0,0,0,2015,
118,Corey Vereen,TENN,DE,26,12,38,3.5,-18,0,0,0,0,0,0,2015,
119,Brandon Williams,TA&M,CB,26,11,37,0.0,0,0,0,0,0,0,0,2015,
119,Ryan Anderson,ALA,LB,21,16,37,6.0,-41,0,0,0,0,0,0,2015,
119,Cyrus Jones,ALA,CB,29,8,37,0.0,0,0,2,21,21,0,2,2015,
119,Tolando Cleveland,MSST,CB,25,12,37,1.0,-5,0,0,0,0,0,1,2015,
123,Rickey Jefferson,LSU,S,21,15,36,1.0,-7,0,1,21,21,0,0,2015,
123,Jonathan Allen,ALA,DT,19,17,36,12.0,-88,0,0,0,0,0,0,2015,
123,Christian Russell,MISS,LB,18,18,36,0.0,0,0,1,36,36,0,1,2015,
123,Tony Bridges,MISS,CB,29,7,36,0.0,0,0,3,46,45,1,0,2015,
123,Chris Westry,UK,CB,23,13,36,1.0,-8,0,2,3,3,0,0,2015,
123,Tre Tarpley IIIVAN,,S,24,12,36,2.0,-22,0,0,0,0,0,0,2015,
129,Owen Williams,TENN,DL,20,15,35,1.0,-2,0,0,0,0,0,0,2015,
129,Channing Ward,MISS,DE,21,14,35,3.0,-19,0,0,0,0,0,0,2015,
129,DJ Dean,ARK,DB,21,14,35,0.5,-2,0,2,0,0,0,0,2015,
129,Kenya Dennis,MIZ,CB,31,4,35,1.0,-10,0,1,1,1,0,0,2015,
129,Santos Ramirez,ARK,S,22,13,35,0.0,0,0,1,18,18,0,0,2015,
129,Kevin Toliver II,LSU,CB,24,11,35,0.0,0,0,1,0,0,0,0,2015,
135,Dwayne Thomas,LSU,CB,24,10,34,0.0,0,0,0,0,0,0,0,2015,
135,Dalvin Tomlinson,ALA,DT,12,22,34,0.0,0,0,0,0,0,0,0,2015,
135,Davin Bellamy,UGA,LB,15,19,34,3.0,-13,0,0,0,0,0,2,2015,
138,Deontay Evans,MSST,DB,20,13,33,0.0,0,0,0,0,0,0,0,2015,
138,Christian LaCouture,LSU,DT,7,26,33,1.0,-12,0,0,0,0,0,1,2015,
138,Vernon Hargreaves IIIFLA,,CB,24,9,33,0.0,0,0,4,152,53,0,1,2015,
141,Rico McWilliams,SC,DB,24,8,32,0.0,0,0,0,0,0,0,0,2015,
141,Fadol Brown,MISS,DE,15,17,32,1.0,-7,0,0,0,0,0,0,2015,
141,Breeland Speaks,MISS,DE,14,18,32,1.0,-2,0,0,0,0,0,0,2015,
141,Daylon Mack,TA&M,DT,15,17,32,0.0,0,0,0,0,0,0,1,2015,
145,LaDarrell McNeil,TENN,DB,22,9,31,0.0,0,0,2,56,57,0,0,2015,
145,De'Vante Harris,TA&M,CB,25,6,31,0.0,0,0,2,43,40,1,0,2015,
145,Deatrich Wise Jr.,ARK,DE,17,14,31,8.0,-44,0,0,0,0,0,1,2015,
145,Blake McClain,UK,DB,19,12,31,0.0,0,0,0,0,0,0,1,2015,
145,Regie Meant,UK,DT,14,17,31,1.0,-4,0,0,0,0,0,0,2015,
145,Terry Caldwell,MISS,LB,24,7,31,1.0,-7,0,0,0,0,0,2,2015,
145,Devaroe Lawrence,AUB,DL,13,18,31,0.5,-4,0,0,0,0,0,0,2015,
152,Lamar Louis,LSU,LB,13,17,30,0.0,0,0,0,0,0,0,0,2015,
152,Jalen Mills,LSU,S,25,5,30,1.0,-10,0,0,0,0,0,0,2015,
152,Tevin Beanum,ARK,DL,11,19,30,2.0,-12,0,0,0,0,0,0,2015,
155,Woodrow Hamilton IV,MISS,DT,16,13,29,1.0,-3,0,0,0,0,0,0,2015,
155,Jabari Johnson,UK,DE,11,18,29,0.5,-2,0,0,0,0,0,0,2015,
155,LaTroy Lewis,TENN,DL,16,13,29,1.0,-5,0,0,0,0,0,1,2015,
155,Julien Obioha,TA&M,DL,7,22,29,1.5,-9,0,0,0,0,0,0,2015,
155,Robert Nkemdiche,MISS,DT,13,16,29,3.0,-24,0,0,0,0,0,0,2015,
155,Nick Harvey,TA&M,DB,19,10,29,0.0,0,0,0,0,0,0,0,2015,
155,Cece JeffersonFLA,,LB,21,8,29,3.5,-34,0,0,0,0,0,1,2015,
162,DeMarcus Hodge,ARK,DL,15,13,28,1.0,-6,0,0,0,0,0,0,2015,
162,Darius English,SC,DE,19,9,28,4.5,-36,0,0,0,0,0,1,2015,
162,Taiwan Johnson,ARK,DL,12,16,28,1.5,-5,0,0,0,0,0,0,2015,
162,Cameron Sutton,TENN,CB,27,1,28,0.0,0,0,0,0,0,0,2,2015,
162,Caleb BrantleyFLA,,DT,11,17,28,3.0,-11,0,0,0,0,0,0,2015,
162,Zaycoven Henderson,TA&M,DT,16,12,28,3.0,-19,0,0,0,0,0,0,2015,
168,Phillip Dukes,SC,DT,20,7,27,1.5,-6,0,0,0,0,0,1,2015,
168,Rickey Hatley,MIZ,DL,9,18,27,1.0,-9,0,0,0,0,0,0,2015,
168,Caleb AzubikeVAN,,DE,12,15,27,3.0,-11,0,0,0,0,0,2,2015,
168,Alonzo Williams,TA&M,DL,9,18,27,1.0,-1,0,0,0,0,0,0,2015,
168,Dillon Lee,ALA,LB,16,11,27,1.0,-5,0,2,4,4,0,0,2015,
168,J.D. Harmon,UK,CB,12,15,27,0.0,0,0,3,25,25,0,1,2015,
168,Josh Augusta,MIZ,DL,17,10,27,0.0,0,0,0,0,0,0,0,2015,
168,C.J. Hampton,MISS,DB,23,4,27,0.0,0,0,0,0,0,0,0,2015,
168,Emmanuel Moseley,TENN,DB,22,5,27,0.0,0,0,1,20,20,0,0,2015,
168,Nick Ruffin,AUB,DB,15,12,27,0.0,0,0,0,0,0,0,0,2015,
168,Quincy WilsonFLA,,CB,15,12,27,0.0,0,0,2,13,11,0,0,2015,
168,Johnathan Calvin,MSST,DL,12,15,27,1.5,-6,0,0,0,0,0,0,2015,
168,Terry Beckner Jr.,MIZ,DT,13,14,27,3.0,-12,0,0,0,0,0,0,2015,
181,Chief Brown,MISS,DB,14,12,26,0.0,0,0,1,22,22,1,0,2015,
181,Clarence Green,MIZ,LB,11,15,26,0.0,0,0,0,0,0,0,0,2015,
181,Nick James,MSST,DL,9,17,26,0.0,0,0,0,0,0,0,1,2015,
181,Landon StokesVAN,,LB,15,11,26,1.0,-9,0,0,0,0,0,1,2015,
181,Ryan WhiteVAN,,S,20,6,26,0.0,0,0,1,0,0,0,1,2015,
181,Stephen Roberts,AUB,S,16,10,26,0.0,0,0,0,0,0,0,0,2015,
181,A.J. Moore Jr.,MISS,DB,12,14,26,1.0,-3,0,0,0,0,0,1,2015,
188,Nelson Adams,MSST,DL,6,19,25,0.0,0,0,0,0,0,0,0,2015,
188,Will Redmond,MSST,CB,18,7,25,0.0,0,0,2,38,19,0,0,2015,
188,James DeLoach,UGA,DT,8,17,25,0.5,-1,0,0,0,0,0,0,2015,
188,Denzel Devall,ALA,LB,11,14,25,1.0,-4,0,0,0,0,0,0,2015,
188,Joey IvieFLA,,DL,14,11,25,3.5,-27,0,0,0,0,0,0,2015,
188,Malik Foreman,TENN,DB,22,3,25,0.0,0,0,1,0,0,0,1,2015,
188,Nick WashingtonFLA,,DB,12,13,25,0.0,0,0,0,0,0,0,1,2015,
188,Johnathan Abram,UGA,S,11,14,25,0.0,0,0,0,0,0,0,0,2015,
188,Donte Jackson,LSU,CB,20,5,25,0.0,0,0,1,0,0,0,0,2015,
188,Trenton Thompson,UGA,DT,8,17,25,0.5,-3,0,0,0,0,0,0,2015,
188,Jamal Peters,MSST,CB,12,13,25,1.0,-5,0,0,0,0,0,0,2015,
188,Zedrick Woods,MISS,S,16,9,25,0.0,0,0,1,22,22,0,0,2015,
200,Kendrick Market,MSST,DB,13,11,24,0.0,0,0,0,0,0,0,0,2015,
200,Duke Riley,LSU,LB,12,12,24,0.0,0,0,0,0,0,0,0,2015,
200,Jay WoodsVAN,,DL,12,12,24,1.0,-5,0,0,0,0,0,1,2015,
200,Jordan SheritFLA,,DL,15,9,24,1.5,-8,0,0,0,0,0,0,2015,
200,DaVonte Lambert,AUB,DL,8,16,24,1.0,-8,0,0,0,0,0,0,2015,
200,Chris Lammons,SC,CB,18,6,24,0.0,0,0,1,0,0,0,0,2015,
200,Kahlil McKenzie,TENN,DT,12,12,24,1.0,-5,0,0,0,0,0,1,2015,
1,Zach CunninghamVAN,,LB,71,54,125,0.0,0,3,0,0,0,0,2,2016,
2,Reuben Foster,ALA,LB,60,55,115,5.0,41,2,0,0,0,0,0,2016,
3,Jordan Jones,UK,LB,74,35,109,4.0,35,4,0,0,0,0,1,2016,
4,Shaan Washington,TA&M,LB,45,59,104,2.5,19,6,0,0,0,0,2,2016,
5,Richie Brown,MSST,LB,52,50,102,1.5,15,2,0,0,0,0,1,2016,
6,Mike Edwards,UK,S,56,44,100,0.5,4,8,3,46,46,0,0,2016,
7,Roquan Smith,UGA,LB,52,43,95,0.0,0,1,0,0,0,0,2,2016,
8,Duke Riley,LSU,LB,39,53,92,1.5,14,1,1,3,3,0,0,2016,
9,Kendell Beckwith,LSU,LB,33,58,91,1.0,5,4,0,0,0,0,0,2016,
10,Justin Evans,TA&M,S,52,35,87,0.0,0,8,4,0,0,0,0,2016,
11,Brooks Ellis,ARK,LB,38,45,83,1.0,21,5,1,47,47,1,0,2016,
11,Ronnie Harrison Jr.,ALA,S,56,27,83,0.0,0,7,2,64,58,1,0,2016,
13,D.J. Smith,SC,S,59,20,79,0.0,0,0,1,0,0,0,0,2016,
13,DeMarquis Gates,MISS,LB,39,40,79,4.0,-31,0,0,0,0,0,1,2016,
13,Leo Lewis,MSST,LB,33,46,79,1.0,2,1,0,0,0,0,0,2016,
16,Courtney Love,UK,LB,39,37,76,1.0,5,1,0,0,0,0,1,2016,
16,Tray Matthews,AUB,S,43,33,76,0.0,0,3,1,0,0,0,1,2016,
16,Jamal Adams,LSU,S,42,34,76,1.0,6,4,1,0,0,0,1,2016,
16,LaDarius WileyVAN,,S,50,26,76,1.0,11,4,0,0,0,0,2,2016,
20,Ryan WhiteVAN,,S,49,26,75,0.0,0,6,0,0,0,0,2,2016,
21,Otaro Alaka,TA&M,LB,30,44,74,2.0,6,1,0,0,0,0,0,2016,
21,Bryson Allen-Williams,SC,LB,44,30,74,2.0,20,1,2,0,0,0,1,2016,
23,Donavin Newsom,MIZ,LB,46,27,73,3.0,-16,0,0,0,0,0,1,2016,
23,Marcell HarrisFLA,,S,43,30,73,1.0,2,1,2,25,25,0,1,2016,
25,T.J. Holloman,SC,LB,48,23,71,0.0,0,2,3,30,16,0,1,2016,
25,J.T. Gray,MSST,S,36,35,71,1.0,4,0,0,0,0,0,0,2016,
25,Todd Kelly Jr.,TENN,DB,49,22,71,1.0,7,2,2,10,9,0,1,2016,
28,Denzil Ware,UK,DE,37,33,70,5.5,61,0,0,0,0,0,0,2016,
29,Jonathan Allen,ALA,DT,33,36,69,10.5,82,2,0,0,0,0,0,2016,
29,Micah Abernathy,TENN,DB,52,17,69,0.0,0,4,2,26,26,0,0,2016,
31,Jonathan Walton,SC,LB,44,24,68,1.5,19,1,0,0,0,0,1,2016,
31,Rashaan Gaulden,TENN,CB,52,16,68,0.0,0,4,0,0,0,0,1,2016,
33,Tre' Williams,AUB,LB,36,31,67,1.0,3,2,0,0,0,0,1,2016,
34,Marcus McWilson,UK,S,29,37,66,0.0,0,0,1,45,45,1,0,2016,
34,Nick Harvey,TA&M,DB,46,20,66,0.0,0,10,1,0,0,0,0,2016,
34,Minkah Fitzpatrick,ALA,S,42,24,66,1.5,13,7,6,186,114,2,1,2016,
37,Shaun Dion Hamilton,ALA,LB,31,33,64,2.0,17,1,2,40,40,0,1,2016,
38,Deshaun Davis,AUB,LB,34,29,63,0.0,0,3,0,0,0,0,0,2016,
38,Josh Liddell,ARK,S,35,28,63,0.0,0,4,2,2,2,0,1,2016,
38,Zedrick Woods,MISS,S,28,35,63,0.0,0,0,3,71,39,1,0,2016,
41,Dalvin Tomlinson,ALA,DT,17,45,62,3.0,28,4,0,0,0,0,0,2016,
41,Blake McClain,UK,DB,39,23,62,0.0,0,2,3,28,20,0,0,2016,
41,Davon Godchaux,LSU,DT,24,38,62,6.5,33,1,0,0,0,0,0,2016,
41,Brandon Bryant,MSST,DB,35,27,62,0.0,0,2,1,19,19,0,0,2016,
41,Josh Hines-Allen,UK,LB,32,30,62,7.0,45,0,0,0,0,0,4,2016,
46,Ryan Anderson,ALA,LB,31,30,61,8.5,64,3,1,26,26,1,3,2016,
46,Charles Harris,MIZ,LB,35,26,61,9.0,-51,0,0,0,0,0,1,2016,
46,Colton Jumper,TENN,LB,37,24,61,0.0,0,1,1,0,0,0,1,2016,
49,Darius English,SC,DE,32,28,60,9.0,70,1,0,0,0,0,2,2016,
49,Lewis Neal,LSU,DE,11,49,60,3.5,16,1,0,0,0,0,0,2016,
49,Jarrad DavisFLA,,LB,29,31,60,2.0,19,4,0,0,0,0,0,2016,
52,Ja'karri ThomasVAN,,LB,31,28,59,0.0,0,0,0,0,0,0,0,2016,
52,Oren BurksVAN,,LB,40,19,59,3.5,17,6,1,59,59,0,1,2016,
52,Rudy Ford,AUB,S,38,21,59,0.0,0,7,0,0,0,0,0,2016,
52,Donovan Wilson,TA&M,S,37,22,59,1.0,12,2,1,0,0,0,0,2016,
52,Natrez Patrick,UGA,LB,29,30,59,1.0,9,0,0,0,0,0,0,2016,
57,Kivon Coman,MSST,DB,29,29,58,0.0,0,2,2,14,16,0,0,2016,
57,Thomas Wilson,MIZ,S,40,18,58,0.0,0,0,0,0,0,0,1,2016,
59,Torren McGasterVAN,,CB,39,18,57,0.0,0,10,1,0,0,0,0,2016,
59,Emmanuel Moseley,TENN,DB,44,13,57,0.0,0,6,0,0,0,0,0,2016,
59,Stephen Roberts,AUB,S,33,24,57,0.0,0,2,2,0,0,0,0,2016,
62,DeAndre Ward,MSST,LB,27,29,56,1.0,5,1,1,35,35,1,0,2016,
62,Derek Barnett,TENN,DE,40,16,56,13.0,93,5,1,7,7,0,2,2016,
62,Armani Watts,TA&M,S,36,20,56,1.0,11,3,2,0,0,0,1,2016,
62,Trenton Thompson,UGA,DT,24,32,56,5.0,39,1,0,0,0,0,0,2016,
66,Aaron Davis,UGA,CB,35,20,55,1.5,14,0,2,0,8,0,2,2016,
66,Arden Key,LSU,DE,23,32,55,12.0,85,3,0,0,0,0,3,2016,
66,Johnathan Calvin,MSST,DL,22,33,55,7.0,51,1,1,-3,-3,0,2,2016,
69,Cortez McDowell,TENN,LB,32,22,54,0.0,0,2,1,18,18,0,0,2016,
69,JaMarcus King,SC,CB,50,4,54,0.0,0,9,3,0,0,0,1,2016,
71,Michael Scherer,MIZ,LB,25,28,53,0.5,-1,0,1,19,19,0,0,2016,
71,Alex AnzaloneFLA,,LB,22,31,53,3.0,16,2,0,0,0,0,0,2016,
71,Anthony Sherrils,MIZ,DB,40,13,53,0.0,0,0,1,-4,0,0,0,2016,
71,Marquis Haynes Sr.,MISS,LB,29,24,53,7.0,-53,0,1,17,17,0,0,2016,
71,Chris Lammons,SC,CB,35,18,53,1.0,10,6,3,6,6,0,2,2016,
76,Taurean FergusonVAN,,CB,38,14,52,0.0,0,6,1,0,0,0,2,2016,
76,Rashaan Evans,ALA,LB,31,21,52,4.0,16,2,0,0,0,0,1,2016,
76,Darrell Williams,AUB,LB,33,19,52,0.0,0,2,0,0,0,0,1,2016,
79,Davin Bellamy,UGA,LB,25,26,51,5.0,22,1,0,0,0,0,0,2016,
79,Claude George,TA&M,LB,30,21,51,3.5,25,2,1,6,6,0,1,2016,
79,Mark McLaurin,MSST,S,27,24,51,1.0,4,5,2,27,27,0,0,2016,
82,Marcus MayeFLA,,S,29,21,50,1.0,10,6,1,6,6,0,0,2016,
82,Daeshon Hall,TA&M,DE,28,22,50,3.5,26,1,0,0,0,0,2,2016,
82,Maurice Smith,UGA,DB,32,18,50,1.0,15,3,2,34,34,1,2,2016,
85,Deatrich Wise Jr.,ARK,DE,21,28,49,3.5,23,3,0,0,0,0,1,2016,
85,Malkom Parrish,UGA,DB,36,13,49,1.0,15,8,2,-5,-5,0,1,2016,
85,Jeremiah Ledbetter,ARK,DE,17,32,49,5.5,44,2,0,0,0,0,1,2016,
85,Cam Hilton,MIZ,S,35,14,49,1.0,-5,0,1,27,27,0,0,2016,
85,David ReeseFLA,,LB,14,35,49,0.0,0,0,0,0,0,0,0,2016,
90,Anthony Averett,ALA,CB,39,9,48,1.0,13,8,0,0,0,0,2,2016,
90,Marquavius Lewis,SC,DL,24,24,48,1.5,12,0,0,0,0,0,0,2016,
92,Ryan Pulley,ARK,CB,33,14,47,0.0,0,13,2,75,50,1,0,2016,
92,Cale Garrett,MIZ,LB,27,20,47,0.0,0,0,1,4,4,0,0,2016,
94,Chris Moody,SC,LB,30,16,46,0.0,0,0,1,0,0,0,0,2016,
94,Carlton Davis III,AUB,CB,37,9,46,0.0,0,10,0,0,0,0,1,2016,
